article_id,paragraph_id,text,group,publication_date,file_path,original_text,text before lemmatization,pos_tags
1,1,provincie willen slag versoepeling stikstofregel [NEWLINE] kabinet beoogen hoog drempelwaarde lijken rapport [NEWLINE] provincie willen voortvaren slag versoepeling stikstofregel [NEWLINE] waarmee nieuw kabinet Nederland slot krijgen aannemelijk [NEWLINE] belangrijk horde stikstofcrisis groot aannemen oordelen [NEWLINE] wetenschapper tno universiteit Amsterdam onderzoek opdracht [NEWLINE] interprovinciaal overleg ipo,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Provincies willen aan de slag met versoepeling stikstofregels. 
Door kabinet beoogde hogere drempelwaarde lijkt mogelijk, aldus rapport. 
De provincies willen ‘voortvarend’ aan de slag met de versoepeling van de stikstofregels 
waarmee het nieuwe kabinet Nederland van het slot wil krijgen. Het is aannemelijk dat een 
belangrijke horde in de stikstofcrisis minder groot is dan werd aangenomen, zo oordelen 
wetenschappers van TNO en de Universiteit van Amsterdam in een onderzoek in opdracht 
van het Interprovinciaal overleg (IPO).",provincies willen slag versoepeling stikstofregels [NEWLINE] kabinet beoogde hogere drempelwaarde lijkt rapport [NEWLINE] provincies willen ‘ voortvarend ’ slag versoepeling stikstofregels [NEWLINE] waarmee nieuwe kabinet nederland slot krijgen aannemelijk [NEWLINE] belangrijke horde stikstofcrisis groot aangenomen oordelen [NEWLINE] wetenschappers tno universiteit amsterdam onderzoek opdracht [NEWLINE] interprovinciaal overleg ipo,"[('provincie', 'NOUN'), ('willen', 'VERB'), ('slag', 'NOUN'), ('versoepeling', 'NOUN'), ('stikstofregel', 'NOUN'), ('[NEWLINE]', 'SYM'), ('kabinet', 'NOUN'), ('beoogen', 'VERB'), ('hoog', 'ADJ'), ('drempelwaarde', 'VERB'), ('lijken', 'NOUN'), ('rapport', 'NOUN'), ('[NEWLINE]', 'SYM'), ('provincie', 'NOUN'), ('willen', 'VERB'), ('voortvaren', 'VERB'), ('slag', 'NOUN'), ('versoepeling', 'NOUN'), ('stikstofregel', 'NOUN'), ('[NEWLINE]', 'SYM'), ('waarmee', 'ADV'), ('nieuw', 'ADJ'), ('kabinet', 'NOUN'), ('Nederland', 'PROPN'), ('slot', 'NOUN'), ('krijgen', 'VERB'), ('aannemelijk', 'ADJ'), ('[NEWLINE]', 'SYM'), ('belangrijk', 'ADJ'), ('horde', 'VERB'), ('stikstofcrisis', 'NOUN'), ('groot', 'ADJ'), ('aannemen', 'VERB'), ('oordelen', 'VERB'), ('[NEWLINE]', 'PROPN'), ('wetenschapper', 'VERB'), ('tno', 'PRON'), ('universiteit', 'NOUN'), ('Amsterdam', 'PROPN'), ('onderzoek', 'NOUN'), ('opdracht', 'NOUN'), ('[NEWLINE]', 'VERB'), ('interprovinciaal', 'VERB'), ('overleg', 'NOUN'), ('ipo', 'NOUN')]"
1,2,draaien allemaal drempelwaran stikstofvergunning bouwprojecen [NEWLINE] stikstof uitstot onduidelijk natuur daardoor verslechtren [NEWLINE] project kort duren blijven zogeheten ondergrens [NEWLINE] natuurvergunning nodig Nederland grens lijkgestelen [NEWLINE] nul waardoor veel bouwproject drempel vallen,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Het draait allemaal om de drempelwaarde voor een stikstofvergunning. Bouwprojecten die 
zo weinig stikstof uitstoten dat onduidelijk is of de natuur daardoor verslechtert, 
bijvoorbeeld omdat de projecten maar kort duren, blijven onder die zogeheten ondergrens 
en hebben geen natuurvergunning nodig. In Nederland is die grens echter bijna gelijkgesteld 
aan nul, waardoor de meeste bouwprojecten boven de drempel vallen.",draait allemaal drempelwaarde stikstofvergunning bouwprojecten [NEWLINE] stikstof uitstoten onduidelijk natuur daardoor verslechtert [NEWLINE] projecten kort duren blijven zogeheten ondergrens [NEWLINE] natuurvergunning nodig nederland grens gelijkgesteld [NEWLINE] nul waardoor meeste bouwprojecten drempel vallen,"[('draaien', 'VERB'), ('allemaal', 'ADV'), ('drempelwaran', 'PROPN'), ('stikstofvergunning', 'NOUN'), ('bouwprojecen', 'ADJ'), ('[NEWLINE]', 'SYM'), ('stikstof', 'NOUN'), ('uitstot', 'NOUN'), ('onduidelijk', 'ADJ'), ('natuur', 'NOUN'), ('daardoor', 'ADV'), ('verslechtren', 'VERB'), ('[NEWLINE]', 'SYM'), ('project', 'NOUN'), ('kort', 'ADJ'), ('duren', 'VERB'), ('blijven', 'VERB'), ('zogeheten', 'ADJ'), ('ondergrens', 'NOUN'), ('[NEWLINE]', 'SYM'), ('natuurvergunning', 'ADJ'), ('nodig', 'ADJ'), ('Nederland', 'PROPN'), ('grens', 'NOUN'), ('lijkgestelen', 'PROPN'), ('[NEWLINE]', 'SYM'), ('nul', 'NUM'), ('waardoor', 'ADV'), ('veel', 'DET'), ('bouwproject', 'NOUN'), ('drempel', 'ADJ'), ('vallen', 'VERB')]"
1,3,hoog drempelwaard vergunning [NEWLINE] aangevochten milieuorganisatie onzekerheid project [NEWLINE] einde komen plaatsvinden voorzitter adviescommissie landelijk gebied [NEWLINE] deputeren provincie Noordholland Jelle beemsterboer provincie willen [NEWLINE] vergunningaanvrager snel duidelijkheid krijgen,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Met een hogere drempelwaarde zouden minder vergunningen kunnen worden 
aangevochten door bijvoorbeeld milieuorganisaties. Aan de onzekerheid voor projecten 
moet een einde komen, vindt voorzitter van adviescommissie landelijk gebied en 
gedeputeerde voor de provincie Noord-Holland, Jelle Beemsterboer. De provincies willen dat 
vergunningaanvragers zo snel mogelijk duidelijkheid krijgen.",hogere drempelwaarde vergunningen [NEWLINE] aangevochten milieuorganisaties onzekerheid projecten [NEWLINE] einde komen vindt voorzitter adviescommissie landelijk gebied [NEWLINE] gedeputeerde provincie noordholland jelle beemsterboer provincies willen [NEWLINE] vergunningaanvragers snel duidelijkheid krijgen,"[('hoog', 'ADJ'), ('drempelwaard', 'NOUN'), ('vergunning', 'NOUN'), ('[NEWLINE]', 'PROPN'), ('aangevochten', 'VERB'), ('milieuorganisatie', 'NOUN'), ('onzekerheid', 'NOUN'), ('project', 'NOUN'), ('[NEWLINE]', 'SYM'), ('einde', 'NOUN'), ('komen', 'VERB'), ('plaatsvinden', 'VERB'), ('voorzitter', 'NOUN'), ('adviescommissie', 'NOUN'), ('landelijk', 'ADJ'), ('gebied', 'NOUN'), ('[NEWLINE]', 'SYM'), ('deputeren', 'VERB'), ('provincie', 'NOUN'), ('Noordholland', 'PROPN'), ('Jelle', 'PROPN'), ('beemsterboer', 'NOUN'), ('provincie', 'NOUN'), ('willen', 'VERB'), ('[NEWLINE]', 'SYM'), ('vergunningaanvrager', 'NOUN'), ('snel', 'ADJ'), ('duidelijkheid', 'NOUN'), ('krijgen', 'VERB')]"
1,4,hoofdlijnenakkoord vier coalitiepartij afspreken grens [NEWLINE] omhooggaan coalitie hoog ondergren stikstofuitstoter [NEWLINE] onbedoeld vergunning zitten zogeheten pasmelder legaliseren [NEWLINE] stikstofuitspraak raad state 2019 bedrijf project beperken [NEWLINE] uitstoot simpelweg melden waarna direct toestemming krijgen raad 2019 [NEWLINE] streep aanpak zetten zaten pasmelder vergunning,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","In het hoofdlijnenakkoord hebben de vier coalitiepartijen afgesproken dat die grens 
omhooggaat. De coalitie wil met een hogere ondergrens onder meer de stikstofuitstoters die 
onbedoeld zonder vergunning zitten, zogeheten PAS-melders, legaliseren. Voor de 
stikstofuitspraak van de Raad van State in 2019 konden bedrijven projecten met beperkte 
uitstoot simpelweg melden, waarna ze direct toestemming kregen. Nadat de Raad in 2019 
een streep door die aanpak zette, zaten PAS-melders zonder vergunning.",hoofdlijnenakkoord vier coalitiepartijen afgesproken grens [NEWLINE] omhooggaat coalitie hogere ondergrens stikstofuitstoters [NEWLINE] onbedoeld vergunning zitten zogeheten pasmelders legaliseren [NEWLINE] stikstofuitspraak raad state 2019 bedrijven projecten beperkte [NEWLINE] uitstoot simpelweg melden waarna direct toestemming kregen raad 2019 [NEWLINE] streep aanpak zette zaten pasmelders vergunning,"[('hoofdlijnenakkoord', 'PROPN'), ('vier', 'NUM'), ('coalitiepartij', 'NOUN'), ('afspreken', 'VERB'), ('grens', 'NOUN'), ('[NEWLINE]', 'NOUN'), ('omhooggaan', 'VERB'), ('coalitie', 'NOUN'), ('hoog', 'ADJ'), ('ondergren', 'VERB'), ('stikstofuitstoter', 'NOUN'), ('[NEWLINE]', 'SYM'), ('onbedoeld', 'VERB'), ('vergunning', 'NOUN'), ('zitten', 'VERB'), ('zogeheten', 'ADJ'), ('pasmelder', 'NOUN'), ('legaliseren', 'VERB'), ('[NEWLINE]', 'SYM'), ('stikstofuitspraak', 'NOUN'), ('raad', 'NOUN'), ('state', 'ADV'), ('2019', 'NUM'), ('bedrijf', 'NOUN'), ('project', 'NOUN'), ('beperken', 'VERB'), ('[NEWLINE]', 'SYM'), ('uitstoot', 'NOUN'), ('simpelweg', 'ADV'), ('melden', 'VERB'), ('waarna', 'ADV'), ('direct', 'ADJ'), ('toestemming', 'NOUN'), ('krijgen', 'VERB'), ('raad', 'NOUN'), ('2019', 'NUM'), ('[NEWLINE]', 'SYM'), ('streep', 'NOUN'), ('aanpak', 'NOUN'), ('zetten', 'VERB'), ('zaten', 'VERB'), ('pasmelder', 'NOUN'), ('vergunning', 'NOUN')]"
1,5,ondergren lang onderwerp discussie huidig Nederlands ondergren [NEWLINE] computertechnisch reden voorzorg kiezen zodat beschermen natuur [NEWLINE] verslechtren wetenschappelijk onderbouw schrijven onderzoeker,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","De ondergrens is al langer onderwerp van discussie. De huidige Nederlandse ondergrens is 
om computertechnische redenen en uit voorzorg gekozen zodat beschermde natuur niet 
verslechtert, maar is niet wetenschappelijk onderbouwd, schrijven de onderzoekers.",ondergrens langer onderwerp discussie huidige nederlandse ondergrens [NEWLINE] computertechnische redenen voorzorg gekozen zodat beschermde natuur [NEWLINE] verslechtert wetenschappelijk onderbouwd schrijven onderzoekers,"[('ondergren', 'VERB'), ('lang', 'ADJ'), ('onderwerp', 'NOUN'), ('discussie', 'NOUN'), ('huidig', 'ADJ'), ('Nederlands', 'ADJ'), ('ondergren', 'NOUN'), ('[NEWLINE]', 'SYM'), ('computertechnisch', 'ADJ'), ('reden', 'NOUN'), ('voorzorg', 'NOUN'), ('kiezen', 'VERB'), ('zodat', 'SCONJ'), ('beschermen', 'VERB'), ('natuur', 'NOUN'), ('[NEWLINE]', 'PROPN'), ('verslechtren', 'VERB'), ('wetenschappelijk', 'ADJ'), ('onderbouw', 'ADJ'), ('schrijven', 'VERB'), ('onderzoeker', 'NOUN')]"
1,6,omliggen land hanteren hoog ondergrenzen waardoor project waarbij stikstof [NEWLINE] vrijkomen makkelijk doorgang vinden liggen duits ondergren [NEWLINE] stikstofneerslag vierduizend keer hoog Nederlands,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Omliggende landen hanteren hogere ondergrenzen, waardoor projecten waarbij stikstof 
vrijkomt makkelijker doorgang kunnen vinden. Zo ligt de Duitse ondergrens voor 
stikstofneerslag ongeveer vierduizend keer hoger dan de Nederlandse.",omliggende landen hanteren hogere ondergrenzen waardoor projecten waarbij stikstof [NEWLINE] vrijkomt makkelijker doorgang vinden ligt duitse ondergrens [NEWLINE] stikstofneerslag vierduizend keer hoger nederlandse,"[('omliggen', 'ADJ'), ('land', 'NOUN'), ('hanteren', 'VERB'), ('hoog', 'ADJ'), ('ondergrenzen', 'VERB'), ('waardoor', 'ADV'), ('project', 'NOUN'), ('waarbij', 'ADV'), ('stikstof', 'NOUN'), ('[NEWLINE]', 'NOUN'), ('vrijkomen', 'VERB'), ('makkelijk', 'ADJ'), ('doorgang', 'NOUN'), ('vinden', 'VERB'), ('liggen', 'VERB'), ('duits', 'ADJ'), ('ondergren', 'NOUN'), ('[NEWLINE]', 'SYM'), ('stikstofneerslag', 'NOUN'), ('vierduizend', 'NUM'), ('keer', 'NOUN'), ('hoog', 'ADJ'), ('Nederlands', 'PROPN')]"
1,7,nieuw onderzoek kijken wetenschapper aangepaste ondergren [NEWLINE] wetenschappelijk onderbouw kijken stikstof lucht [NEWLINE] gedragen concluderen veldonderzoek nodig [NEWLINE] meetgegeven verzamelen onvoldoende daarvoor minimaal [NEWLINE] vijf jaar nodig schatten onderzoeker,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","In het nieuwe onderzoek kijken de wetenschappers of een aangepaste ondergrens 
wetenschappelijk te onderbouwen is door enkel te kijken naar hoe stikstof zich in de lucht 
gedraagt. Ze concluderen echter dat dit niet kan, omdat er eerst meer veldonderzoek nodig 
is om meer meetgegevens te verzamelen. Die zijn er nu onvoldoende. Daarvoor is minimaal 
vijf jaar nodig, schatten de onderzoekers.",nieuwe onderzoek kijken wetenschappers aangepaste ondergrens [NEWLINE] wetenschappelijk onderbouwen kijken stikstof lucht [NEWLINE] gedraagt concluderen veldonderzoek nodig [NEWLINE] meetgegevens verzamelen onvoldoende daarvoor minimaal [NEWLINE] vijf jaar nodig schatten onderzoekers,"[('nieuw', 'ADJ'), ('onderzoek', 'NOUN'), ('kijken', 'VERB'), ('wetenschapper', 'PROPN'), ('aangepaste', 'VERB'), ('ondergren', 'NOUN'), ('[NEWLINE]', 'SYM'), ('wetenschappelijk', 'ADJ'), ('onderbouw', 'NOUN'), ('kijken', 'VERB'), ('stikstof', 'NOUN'), ('lucht', 'NOUN'), ('[NEWLINE]', 'NOUN'), ('gedragen', 'VERB'), ('concluderen', 'ADJ'), ('veldonderzoek', 'NOUN'), ('nodig', 'ADJ'), ('[NEWLINE]', 'SYM'), ('meetgegeven', 'VERB'), ('verzamelen', 'VERB'), ('onvoldoende', 'ADJ'), ('daarvoor', 'ADV'), ('minimaal', 'ADJ'), ('[NEWLINE]', 'SYM'), ('vijf', 'NUM'), ('jaar', 'NOUN'), ('nodig', 'ADJ'), ('schatten', 'VERB'), ('onderzoeker', 'NOUN')]"
1,8,bred onderzoek kijken stikstof lucht [NEWLINE] effect natuur snel hoog drempelwaran [NEWLINE] onderbouwen provincie vraag minister zowel veldwerk bredere [NEWLINE] onderzoek starten voortvaren pakken,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Met een breder onderzoek, dat niet alleen kijkt naar stikstof in de lucht maar ook naar de 
effecten op de natuur, zou het sneller mogelijk zijn een hogere drempelwaarde te 
onderbouwen. De provincies vragen de minister om zowel het veldwerk als het bredere 
onderzoek te starten, en het ‘voortvarend op te pakken’.",breder onderzoek kijkt stikstof lucht [NEWLINE] effecten natuur sneller hogere drempelwaarde [NEWLINE] onderbouwen provincies vragen minister zowel veldwerk bredere [NEWLINE] onderzoek starten ‘ voortvarend pakken ’,"[('bred', 'PROPN'), ('onderzoek', 'NOUN'), ('kijken', 'VERB'), ('stikstof', 'NOUN'), ('lucht', 'NOUN'), ('[NEWLINE]', 'SYM'), ('effect', 'NOUN'), ('natuur', 'NOUN'), ('snel', 'ADJ'), ('hoog', 'ADJ'), ('drempelwaran', 'PROPN'), ('[NEWLINE]', 'SYM'), ('onderbouwen', 'SYM'), ('provincie', 'NOUN'), ('vraag', 'VERB'), ('minister', 'NOUN'), ('zowel', 'CCONJ'), ('veldwerk', 'NOUN'), ('bredere', 'ADJ'), ('[NEWLINE]', 'SYM'), ('onderzoek', 'NOUN'), ('starten', 'VERB'), ('voortvaren', 'VERB'), ('pakken', 'VERB')]"
1,9,zet toestaan stikstofuitstoot extra druk maatregel [NEWLINE] natuurdoelen halen schrijven onderzoeker impactanalyse onderzoek [NEWLINE] huidig plan waaronder landelijk uitkoopregeling boeren [NEWLINE] onvoldoende bevinden genoeg natuur beschermen ver verslechtering,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Wel zet het toestaan van meer stikstofuitstoot extra druk op andere maatregelen om de 
natuurdoelen te halen, schrijven de onderzoekers in de impactanalyse in het onderzoek. De 
huidige plannen, waaronder de landelijke uitkoopregelingen voor boeren, zijn eerder al 
onvoldoende bevonden om genoeg natuur te beschermen tegen verdere verslechtering.",zet toestaan stikstofuitstoot extra druk maatregelen [NEWLINE] natuurdoelen halen schrijven onderzoekers impactanalyse onderzoek [NEWLINE] huidige plannen waaronder landelijke uitkoopregelingen boeren [NEWLINE] onvoldoende bevonden genoeg natuur beschermen verdere verslechtering,"[('zet', 'VERB'), ('toestaan', 'VERB'), ('stikstofuitstoot', 'NOUN'), ('extra', 'ADJ'), ('druk', 'ADJ'), ('maatregel', 'NOUN'), ('[NEWLINE]', 'NOUN'), ('natuurdoelen', 'VERB'), ('halen', 'VERB'), ('schrijven', 'VERB'), ('onderzoeker', 'NOUN'), ('impactanalyse', 'NOUN'), ('onderzoek', 'NOUN'), ('[NEWLINE]', 'SYM'), ('huidig', 'ADJ'), ('plan', 'NOUN'), ('waaronder', 'ADV'), ('landelijk', 'ADJ'), ('uitkoopregeling', 'NOUN'), ('boeren', 'VERB'), ('[NEWLINE]', 'SYM'), ('onvoldoende', 'ADJ'), ('bevinden', 'VERB'), ('genoeg', 'ADV'), ('natuur', 'NOUN'), ('beschermen', 'VERB'), ('ver', 'ADJ'), ('verslechtering', 'NOUN')]"
1,10,bestaan onderzoeker risico willekeurig bedrijf [NEWLINE] uitstot ondergren dwingen sluiten overheid extra [NEWLINE] maatregel nemen lang termijn Nederland langdurigop slot komen zitten [NEWLINE] waarschuwen stikstofmaatregelen voorkomen hoog [NEWLINE] rekenkundig ondergren bieden kans wondermiddel komen [NEWLINE] verantwoordelijkheen,Bouw & Vastgoed,2024-08-28,"data\Bouw & Vastgoed\1, 28-08-2024.pdf","Ook bestaat volgens de onderzoekers het risico dat ‘willekeurige bedrijven’ die meer 
uitstoten dan de ondergrens ‘gedwongen moeten sluiten’, als de overheid geen extra 
maatregelen neemt. Op de lange termijn kan Nederland langdurigop slot komen te zitten, 
waarschuwen ze. Dit kan alleen met stikstofmaatregelen worden voorkomen. ‘Een hogere 
rekenkundige ondergrens biedt kansen, maar is geen wondermiddel en komt met 
verantwoordelijkheden.’",bestaat onderzoekers risico ‘ willekeurige bedrijven ’ [NEWLINE] uitstoten ondergrens ‘ gedwongen sluiten ’ overheid extra [NEWLINE] maatregelen neemt lange termijn nederland langdurigop slot komen zitten [NEWLINE] waarschuwen stikstofmaatregelen voorkomen ‘ hogere [NEWLINE] rekenkundige ondergrens biedt kansen wondermiddel komt [NEWLINE] verantwoordelijkheden ’,"[('bestaan', 'VERB'), ('onderzoeker', 'NOUN'), ('risico', 'NOUN'), ('willekeurig', 'ADJ'), ('bedrijf', 'NOUN'), ('[NEWLINE]', 'SYM'), ('uitstot', 'VERB'), ('ondergren', 'VERB'), ('dwingen', 'NOUN'), ('sluiten', 'VERB'), ('overheid', 'NOUN'), ('extra', 'ADJ'), ('[NEWLINE]', 'SYM'), ('maatregel', 'NOUN'), ('nemen', 'VERB'), ('lang', 'ADJ'), ('termijn', 'NOUN'), ('Nederland', 'PROPN'), ('langdurigop', 'ADJ'), ('slot', 'NOUN'), ('komen', 'VERB'), ('zitten', 'VERB'), ('[NEWLINE]', 'SYM'), ('waarschuwen', 'VERB'), ('stikstofmaatregelen', 'NOUN'), ('voorkomen', 'VERB'), ('hoog', 'ADJ'), ('[NEWLINE]', 'SYM'), ('rekenkundig', 'ADJ'), ('ondergren', 'VERB'), ('bieden', 'VERB'), ('kans', 'NOUN'), ('wondermiddel', 'NOUN'), ('komen', 'VERB'), ('[NEWLINE]', 'SYM'), ('verantwoordelijkheen', 'SYM')]"
